"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"1"," ibis London Canning Town","8 Silvertown Way, London, England, E16 1ED, United Kingdom, 866-573-4235","Docklands",5.9,8.8,"Fabulous",615,"4.5","110","2019-11-29","2019-11-30",2,0,631170048,3.5,"51.514664,0.008803","196","10",1,1,0,0,1,1,0,0,1
"2","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","90","2019-11-29","2019-11-30",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"3","11 Cadogan Gardens","11 Cadogan Gardens, Knightsbridge, London, England, SW3 2RJ, United Kingdom, 866-573-4235","Chelsea",1.7,9.2,"Superb",189,"4.5","348","2019-11-29","2019-11-30",2,0,278952,5,"51.493553,-0.159543","56","4",1,1,0,0,1,1,1,0,0
"4","12 43 Clanricarde Gardens","Flat 12, 43 Clanricarde Gardens, London, England, W2 4JN, United Kingdom, 866-573-4235","Royal Borough of Kensington and Chelsea",2.8,6,"Good",6,NA,"144","2019-11-29","2019-11-30",2,0,1077261344,3.5,"51.511233,-0.19339",NA,NA,0,0,0,0,0,0,0,0,1
"5","196 Bishopsgate","196 Bishopsgate, London, England, EC2M 4NR, United Kingdom, 866-573-4235","The City of London",2.2,8.4,"Very Good",470,"4","165","2019-11-29","2019-11-30",2,0,212071,4,"51.51806,-0.079938","47",NA,0,0,0,1,0,1,1,0,0
"6","198 Suites","198 West End Lane, London, England, NW6 1SG, United Kingdom, 866-573-4235","West Hampstead",4,7.2,"Good",41,"3.5","82","2019-11-29","2019-11-30",2,0,385478,2.5,"51.549893,-0.19149","10","4",0,0,0,0,1,1,1,0,0
"7","2 Bed Penthouse Style House in Camden Town","27a Agar Grove, London, England, NW1 9UG, United Kingdom, 866-573-4235","Camden Town",2.5,NA,NA,NA,NA,"304","2019-11-29","2019-11-30",2,0,1194265216,3.5,"51.543242,-0.130607",NA,NA,0,0,0,0,0,0,0,0,1
"8","2 Bedrooms En-suite Near Victoria","Sutherland Street, Westminster, London, England, SW1V 4JZ, United Kingdom, 866-573-4235","Victoria",1.5,NA,NA,NA,NA,"206","2019-11-29","2019-11-30",2,0,927188704,3,"51.487655,-0.143596",NA,NA,0,0,0,0,0,0,0,0,1
"9","23 Matheson Road","23 Matheson Road, London, England, W14 8SN, United Kingdom, 866-573-4235","West Kensington",3.5,6.8,"Good",54,"2","58","2019-11-29","2019-11-30",2,0,719847392,2.5,"51.49342,-0.20605","15",NA,0,0,0,0,0,0,0,0,0
"10","274 Suites","274 West End Lane, London, England, NW6 1LJ, United Kingdom, 866-573-4235","West Hampstead",4.1,8,"Very Good",37,"3","89","2019-11-29","2019-11-30",2,0,385796,2.5,"51.551899,-0.192125","7","2",0,0,0,0,1,1,0,0,0
"11","3 Durlock House ","Gosling way, Winnersh, London, England, SW9 6LS, United Kingdom, 866-573-4235","London",2.4,NA,NA,NA,NA,"131","2019-11-29","2019-11-30",2,0,726854144,3,"51.47456,-0.11192",NA,NA,0,0,0,0,0,0,0,0,1
"12","41","41 Buckingham Palace Road, London, England, SW1W 0PS, United Kingdom, 866-573-4235","Victoria",0.9,9.8,"Exceptional",141,"5","1","2019-11-29","2019-11-30",2,0,425901,5,"51.498296,-0.143718","28","1",0,1,1,1,1,1,1,0,1
"13","44 Curzon Street By Mansley","44 Curzon Street, London, England, W1J 7UG, United Kingdom, 866-573-4235","Mayfair",0.8,8.8,"Fabulous",101,"4.5","219","2019-11-29","2019-11-30",2,0,566747,4,"51.506891,-0.146617","16","6",0,0,0,0,0,1,1,0,0
"14","45 Park Lane - Dorchester Collection","45 Park Lane, Mayfair, London, England, W1K 1PN, United Kingdom, 866-573-4235","Mayfair",NA,9,"Superb",18,"5","1","2019-11-29","2019-11-30",2,0,478590,5,"51.506239,-0.15175","46","9",1,1,1,1,1,1,1,0,1
"15","54 Queens Gate Hotel","54 Queens Gate, London, England, SW7 5JW, United Kingdom, 866-573-4235","South Kensington",2.3,9.4,"Exceptional",95,"4.5","200","2019-11-29","2019-11-30",2,0,285808,4,"51.496342,-0.179316","24",NA,0,0,0,0,1,1,0,0,0
"16","88 Studios Kensington","88 Holland Road, London, England, W14 8BN, United Kingdom, 866-573-4235","West Kensington",3.6,8.6,"Fabulous",531,"4","113","2019-11-29","2019-11-30",2,0,590766,4,"51.499156,-0.209318","35","5",0,0,0,0,1,1,1,0,0
"17","9 Hertford Street","9 Hertford Street, London, England, W1J 7RJ, United Kingdom, 866-573-4235","Mayfair",0.9,9.6,"Exceptional",19,"5","264","2019-11-29","2019-11-30",2,0,800534880,4.5,"51.50562,-0.14775","11",NA,0,0,0,0,0,1,1,0,1
"18","9A Craven Road Hotel","9a Craven Road, London, England, W2 3bp, United Kingdom, 866-573-4235","Paddington",2.2,5.6,"",55,"2","104","2019-11-29","2019-11-30",2,0,509263,3,"51.514807,-0.17701","12",NA,1,0,0,0,0,1,1,0,0
"19","A to B HOTEL","9 Hanger Lane, London, England, W5 3HH, United Kingdom, 866-573-4235","London",7,5.8,"",83,"2.5","68","2019-11-29","2019-11-30",2,0,659078,2.5,"51.511867,-0.291113","10",NA,0,0,0,0,0,0,0,0,1
"20","Abbey Lodge","51 Grange Park, London, England, W5 3PR, United Kingdom, 866-573-4235","London",7.3,5.2,"",54,"2.5","66","2019-11-29","2019-11-30",2,0,567240,2.5,"51.50853,-0.298436","17",NA,0,0,0,0,0,1,1,0,1
