"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"1"," ibis London Canning Town","8 Silvertown Way, London, England, E16 1ED, United Kingdom, 866-573-4235","Docklands",5.9,8.8,"Fabulous",615,"4.5","273","2019-10-01","2019-10-02",2,0,631170048,3.5,"51.514664,0.008803","196","10",1,1,0,0,1,1,0,0,1
"2","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","71","2019-10-01","2019-10-02",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"3","11 Cadogan Gardens","11 Cadogan Gardens, Knightsbridge, London, England, SW3 2RJ, United Kingdom, 866-573-4235","Chelsea",1.7,9.2,"Superb",189,"4.5","348","2019-10-01","2019-10-02",2,0,278952,5,"51.493553,-0.159543","56","4",1,1,0,0,1,1,1,0,0
"4","12 43 Clanricarde Gardens","Flat 12, 43 Clanricarde Gardens, London, England, W2 4JN, United Kingdom, 866-573-4235","Royal Borough of Kensington and Chelsea",2.8,6,"Good",6,NA,"144","2019-10-01","2019-10-02",2,0,1077261344,3.5,"51.511233,-0.19339",NA,NA,0,0,0,0,0,0,0,0,1
"5","16 Austin Avenue","Austin Ave, Bromley, England, BR2 8AJ, United Kingdom, 866-573-4235","Bromley",NA,NA,NA,NA,NA,"97","2019-10-01","2019-10-02",2,0,1210157568,4,"51.389129,0.045819",NA,NA,0,0,0,0,0,0,0,0,1
"6","196 Bishopsgate","196 Bishopsgate, London, England, EC2M 4NR, United Kingdom, 866-573-4235","The City of London",2.2,8.4,"Very Good",470,"4","220","2019-10-01","2019-10-02",2,0,212071,4,"51.51806,-0.079938","47",NA,0,0,0,1,0,1,1,0,0
"7","198 Suites","198 West End Lane, London, England, NW6 1SG, United Kingdom, 866-573-4235","West Hampstead",4,7.2,"Good",41,"3.5","87","2019-10-01","2019-10-02",2,0,385478,2.5,"51.549893,-0.19149","10","4",0,0,0,0,1,1,1,0,0
"8","2 Bed Penthouse Style House in Camden Town","27a Agar Grove, London, England, NW1 9UG, United Kingdom, 866-573-4235","Camden Town",2.5,NA,NA,NA,NA,"264","2019-10-01","2019-10-02",2,0,1194265216,3.5,"51.543242,-0.130607",NA,NA,0,0,0,0,0,0,0,0,1
"9","2 Double Bed Spacious Flat","5 West St, Carshalton, England, SM5 2PT, United Kingdom, 866-573-4235","Carshalton",NA,NA,NA,NA,NA,"122","2019-10-01","2019-10-02",2,0,1243718880,3,"51.365835,-0.167162",NA,NA,0,0,0,0,0,0,0,0,1
"10","23 Matheson Road","23 Matheson Road, London, England, W14 8SN, United Kingdom, 866-573-4235","West Kensington",3.5,6.8,"Good",54,"2","64","2019-10-01","2019-10-02",2,0,719847392,2.5,"51.49342,-0.20605","15",NA,0,0,0,0,0,0,0,0,0
"11","26 Penge House","Wye St, London, England, SW11 2SL, United Kingdom, 866-573-4235","Battersea",3.4,NA,NA,NA,NA,"228","2019-10-01","2019-10-02",2,0,1129287200,4,"51.468735,-0.17543",NA,NA,0,0,0,0,0,0,0,0,1
"12","274 Suites","274 West End Lane, London, England, NW6 1LJ, United Kingdom, 866-573-4235","West Hampstead",4.1,8,"Very Good",37,"3","86","2019-10-01","2019-10-02",2,0,385796,2.5,"51.551899,-0.192125","7","2",0,0,0,0,1,1,0,0,0
"13","3 Bedroom House","1 Brunel Way, Dartford, England, DA1 5FL, United Kingdom, 866-573-4235","Dartford",NA,NA,NA,NA,NA,"193","2019-10-01","2019-10-02",2,0,1155463264,3.5,"51.460424,0.230683",NA,NA,0,0,0,0,0,0,0,0,1
"14","3 Durlock House ","Gosling way, Winnersh, London, England, SW9 6LS, United Kingdom, 866-573-4235","London",2.4,NA,NA,NA,NA,"140","2019-10-01","2019-10-02",2,0,726854144,3,"51.47456,-0.11192",NA,NA,0,0,0,0,0,0,0,0,1
"15","35 Swinton Street","35 Swinton Street, London, England, WC1X 9NT, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,5.2,"",31,NA,"116","2019-10-01","2019-10-02",2,0,689273696,3,"51.52891,-0.11762","7",NA,0,0,0,0,0,0,0,0,0
"16","41","41 Buckingham Palace Road, London, England, SW1W 0PS, United Kingdom, 866-573-4235","Victoria",0.9,9.8,"Exceptional",141,"5","1","2019-10-01","2019-10-02",2,0,425901,5,"51.498296,-0.143718","28","1",0,1,1,1,1,1,1,0,1
"17","43 Craignair Road","43 Craignair Road Tulse Hill , London, England, SW22DQ, United Kingdom, 866-573-4235","London",NA,NA,NA,NA,NA,"86","2019-10-01","2019-10-02",2,0,1205323104,2.5,"51.448154,-0.115677","1",NA,0,0,0,0,0,1,0,0,0
"18","44 Curzon Street By Mansley","44 Curzon Street, London, England, W1J 7UG, United Kingdom, 866-573-4235","Mayfair",0.8,8.8,"Fabulous",101,"4.5","237","2019-10-01","2019-10-02",2,0,566747,4,"51.506891,-0.146617","16","6",0,0,0,0,0,1,1,0,0
"19","45 Park Lane - Dorchester Collection","45 Park Lane, Mayfair, London, England, W1K 1PN, United Kingdom, 866-573-4235","Mayfair",NA,9,"Superb",18,"5","1","2019-10-01","2019-10-02",2,0,478590,5,"51.506239,-0.15175","46","9",1,1,1,1,1,1,1,0,1
"20","47 Park Street - Grand Residences by Marriott","47 Park Street, Mayfair, London, England, W1K 7EB, United Kingdom, 866-573-4235","City of Westminster",1.2,9.6,"Exceptional",33,"5","388","2019-10-01","2019-10-02",2,0,121934,4,"51.511138,-0.154825","49","7",0,0,0,0,1,1,1,0,1
"21","54 Queens Gate Hotel","54 Queens Gate, London, England, SW7 5JW, United Kingdom, 866-573-4235","South Kensington",2.3,9.4,"Exceptional",95,"4.5","245","2019-10-01","2019-10-02",2,0,285808,4,"51.496342,-0.179316","24",NA,0,0,0,0,1,1,0,0,0
