"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"1"," ibis London Canning Town","8 Silvertown Way, London, England, E16 1ED, United Kingdom, 866-573-4235","Docklands",5.9,8.8,"Fabulous",615,"4.5","303","2019-10-25","2019-10-26",2,0,631170048,3.5,"51.514664,0.008803","196","10",1,1,0,0,1,1,0,0,1
"2","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","130","2019-10-25","2019-10-26",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"3","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","130","2019-10-25","2019-10-26",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"4","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","130","2019-10-25","2019-10-26",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"5","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","130","2019-10-25","2019-10-26",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"6","11 Cadogan Gardens","11 Cadogan Gardens, Knightsbridge, London, England, SW3 2RJ, United Kingdom, 866-573-4235","Chelsea",1.7,9.2,"Superb",189,"4.5","316","2019-10-25","2019-10-26",2,0,278952,5,"51.493553,-0.159543","56","4",1,1,0,0,1,1,1,0,0
"7","12 43 Clanricarde Gardens","Flat 12, 43 Clanricarde Gardens, London, England, W2 4JN, United Kingdom, 866-573-4235","Royal Borough of Kensington and Chelsea",2.8,6,"Good",6,NA,"144","2019-10-25","2019-10-26",2,0,1077261344,3.5,"51.511233,-0.19339",NA,NA,0,0,0,0,0,0,0,0,1
"8","196 Bishopsgate","196 Bishopsgate, London, England, EC2M 4NR, United Kingdom, 866-573-4235","The City of London",2.2,8.4,"Very Good",470,"4","187","2019-10-25","2019-10-26",2,0,212071,4,"51.51806,-0.079938","47",NA,0,0,0,1,0,1,1,0,0
"9","198 Suites","198 West End Lane, London, England, NW6 1SG, United Kingdom, 866-573-4235","West Hampstead",4,7.2,"Good",41,"3.5","100","2019-10-25","2019-10-26",2,0,385478,2.5,"51.549893,-0.19149","10","4",0,0,0,0,1,1,1,0,0
"10","2 Bedroom Apartment Earl's Court","Apartment 5, 65 Warwick Road, London, England, SW5 9HB, United Kingdom, 866-573-4235","Earl's Court",3.1,7.2,"Good",5,NA,"344","2019-10-25","2019-10-26",2,0,967675040,3.5,"51.49252,-0.19566",NA,NA,0,0,0,0,0,0,0,0,1
"11","23 Matheson Road","23 Matheson Road, London, England, W14 8SN, United Kingdom, 866-573-4235","West Kensington",3.5,6.8,"Good",54,"2","84","2019-10-25","2019-10-26",2,0,719847392,2.5,"51.49342,-0.20605","15",NA,0,0,0,0,0,0,0,0,0
"12","274 Suites","274 West End Lane, London, England, NW6 1LJ, United Kingdom, 866-573-4235","West Hampstead",4.1,8,"Very Good",37,"3","99","2019-10-25","2019-10-26",2,0,385796,2.5,"51.551899,-0.192125","7","2",0,0,0,0,1,1,0,0,0
"13","41","41 Buckingham Palace Road, London, England, SW1W 0PS, United Kingdom, 866-573-4235","Victoria",0.9,9.8,"Exceptional",141,"5","1","2019-10-25","2019-10-26",2,0,425901,5,"51.498296,-0.143718","28","1",0,1,1,1,1,1,1,0,1
"14","44 Curzon Street By Mansley","44 Curzon Street, London, England, W1J 7UG, United Kingdom, 866-573-4235","Mayfair",0.8,8.8,"Fabulous",101,"4.5","341","2019-10-25","2019-10-26",2,0,566747,4,"51.506891,-0.146617","16","6",0,0,0,0,0,1,1,0,0
"15","45 Park Lane - Dorchester Collection","45 Park Lane, Mayfair, London, England, W1K 1PN, United Kingdom, 866-573-4235","Mayfair",NA,9,"Superb",18,"5","907","2019-10-25","2019-10-26",2,0,478590,5,"51.506239,-0.15175","46","9",1,1,1,1,1,1,1,0,1
"16","47 Park Street - Grand Residences by Marriott","47 Park Street, Mayfair, London, England, W1K 7EB, United Kingdom, 866-573-4235","City of Westminster",1.2,9.6,"Exceptional",33,"5","871","2019-10-25","2019-10-26",2,0,121934,4,"51.511138,-0.154825","49","7",0,0,0,0,1,1,1,0,1
"17","54 Queens Gate Hotel","54 Queens Gate, London, England, SW7 5JW, United Kingdom, 866-573-4235","South Kensington",2.3,9.4,"Exceptional",95,"4.5","222","2019-10-25","2019-10-26",2,0,285808,4,"51.496342,-0.179316","24",NA,0,0,0,0,1,1,0,0,0
"18","88 Studios Kensington","88 Holland Road, London, England, W14 8BN, United Kingdom, 866-573-4235","West Kensington",3.6,8.6,"Fabulous",531,"4","133","2019-10-25","2019-10-26",2,0,590766,4,"51.499156,-0.209318","35","5",0,0,0,0,1,1,1,0,0
"19","9 Hertford Street","9 Hertford Street, London, England, W1J 7RJ, United Kingdom, 866-573-4235","Mayfair",0.9,9.6,"Exceptional",19,"5","304","2019-10-25","2019-10-26",2,0,800534880,4.5,"51.50562,-0.14775","11",NA,0,0,0,0,0,1,1,0,1
"20","9A Craven Road Hotel","9a Craven Road, London, England, W2 3bp, United Kingdom, 866-573-4235","Paddington",2.2,5.6,"",55,"2","119","2019-10-25","2019-10-26",2,0,509263,3,"51.514807,-0.17701","12",NA,1,0,0,0,0,1,1,0,0
"21","A to B HOTEL","9 Hanger Lane, London, England, W5 3HH, United Kingdom, 866-573-4235","London",7,5.8,"",83,"2.5","64","2019-10-25","2019-10-26",2,0,659078,2.5,"51.511867,-0.291113","10",NA,0,0,0,0,0,0,0,0,1
"22","Abbey Lodge","51 Grange Park, London, England, W5 3PR, United Kingdom, 866-573-4235","London",7.3,5.2,"",55,"2.5","84","2019-10-25","2019-10-26",2,0,567240,2.5,"51.50853,-0.298436","17",NA,0,0,0,0,0,1,1,0,1
"23","ABC Hyde Park Hotel","119-121 Sussex Gardens, Paddington, London, England, W2 2RU, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",253,"3","129","2019-10-25","2019-10-26",2,0,330391,3,"51.51552,-0.171683","37","4",0,0,0,0,0,1,0,0,1
"24","Acacia Hostel","14 Queensbury Place, London, England, SW7 2EA, United Kingdom, 866-573-4235","South Kensington",2.3,6.6,"Good",38,"2.5","71","2019-10-25","2019-10-26",2,0,403938560,2,"51.49466,-0.17764","20",NA,0,0,0,0,0,0,0,0,1
"25","Accommodation London Bridge","58 Great Dover Street, London, England, SE1 4YF, United Kingdom, 866-573-4235","Bermondsey",1.8,8.4,"Very Good",243,"4","180","2019-10-25","2019-10-26",2,0,514180,2.5,"51.497632,-0.089779","44","3",0,0,0,0,0,1,0,0,0
"26","Ace Hotel London Shoreditch","100 Shoreditch High Street, London, England, E1 6JQ, United Kingdom, 866-573-4235","Shoreditch",2.5,8.6,"Fabulous",667,"4","364","2019-10-25","2019-10-26",2,0,220408,5,"51.525664,-0.077714","258","7",1,1,1,1,1,1,1,0,0
"27","Acorn - Byng Place Apartments","1 Byng Place, Camden, London, England, WC1E 7JJ, United Kingdom, 866-573-4235","Bloomsbury",1.1,6.6,"Good",27,NA,"186","2019-10-25","2019-10-26",2,0,550793,4,"51.522988,-0.131302","15","4",0,0,0,0,0,1,1,0,0
"28","Acton Town Hotel","109 - 113 Gunnersbury Lane, Acton, London, England, W3 8HQ, United Kingdom, 866-573-4235","Acton",6.5,6,"Good",182,"2","59","2019-10-25","2019-10-26",2,0,443342,2,"51.503571,-0.279937","33","3",0,0,0,0,0,1,0,0,1
"29","Adare Hotel","153 Sussex Gardens, Hyde park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,5.8,"",254,"2.5","114","2019-10-25","2019-10-26",2,0,265398,2.5,"51.514947,-0.17274","20","5",0,0,0,0,0,1,0,0,1
"30","Admiral Hotel at Park Avenue","143 Sussex Gardens, Hyde Park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",13,"3","128","2019-10-25","2019-10-26",2,0,494511,3,"51.515196,-0.172652","22","4",1,1,0,1,0,1,0,0,1
"31","Adria Hotel","44-46 Glenthorne Road, London, England, W6 0LS, United Kingdom, 866-573-4235","Hammersmith",4.4,8.4,"Very Good",196,"4","122","2019-10-25","2019-10-26",2,0,320290,3,"51.494415,-0.228953","30","3",0,0,0,0,0,1,0,0,1
"32","Airport Guest House","558-560 London Road, Slough, England, SL3 8QF, United Kingdom, 866-573-4235","Slough",18,7.8,"Good",26,"3.5","72","2019-10-25","2019-10-26",2,0,384194176,3,"51.48886,-0.53509","30",NA,0,0,0,0,0,1,0,0,1
"33","Airways Hotel Victoria","29 St. Georges Dr., Victoria, London, England, SW1V 4DG, United Kingdom, 866-573-4235","Victoria",1.3,7.6,"Good",356,"3","160","2019-10-25","2019-10-26",2,0,140101,3,"51.490897,-0.144013","37","5",0,0,0,1,1,1,1,0,0
"34","Albany Hotel","34 Tavistock Place, Russell Square, Bloomsbury, London, England, WC1H 9RE, United Kingdom, 866-573-4235","Bloomsbury",1.2,5.8,"",101,"3","151","2019-10-25","2019-10-26",2,0,622460,2.5,"51.525441,-0.126041","13",NA,0,1,0,0,0,1,0,0,0
"35","Albion House Hotel","29 Argyle Square, London, England, WC1H 8AL, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,5.2,"",66,"2.5","162","2019-10-25","2019-10-26",2,0,451332,3,"51.528606,-0.121713","40",NA,0,0,0,0,0,1,0,0,0
"36","Albro House","155 Sussex Gardens, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,7.6,"Good",24,"3.5","150","2019-10-25","2019-10-26",2,0,285929,2,"51.51489,-0.17305","19","4",0,0,0,0,0,1,0,0,1
"37","Alexander Pope","Cross Deep, Twickenham, England, TW1 4RB, United Kingdom, 866-573-4235","Richmond-upon-Thames",9.9,8.8,"Fabulous",101,"4","166","2019-10-25","2019-10-26",2,0,398805,3.5,"51.441164,-0.332575","32","3",1,1,0,1,1,1,1,0,1
"38","Alexandra Hotel","159/161 Sussex Gardens Hyde Park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,6.6,"Good",432,"2.5","122","2019-10-25","2019-10-26",2,0,307312,2.5,"51.514935,-0.172719","97",NA,0,0,0,0,0,1,0,0,1
"39","Alhambra Hotel","17-19 Argyle Street, London, England, WC1H 8EJ, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,7.8,"Good",812,"4","188","2019-10-25","2019-10-26",2,0,315467,2.5,"51.52918,-0.12376","52","3",0,0,0,0,0,1,0,0,0
"40","Alhambra Hotel","17-19 Argyle Street, London, England, WC1H 8EJ, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,7.8,"Good",812,"4","188","2019-10-25","2019-10-26",2,0,315467,2.5,"51.52918,-0.12376","52","3",0,0,0,0,0,1,0,0,0
"41","Alhambra Hotel","17-19 Argyle Street, London, England, WC1H 8EJ, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,7.8,"Good",812,"4","188","2019-10-25","2019-10-26",2,0,315467,2.5,"51.52918,-0.12376","52","3",0,0,0,0,0,1,0,0,0
"42","Alhambra Hotel","17-19 Argyle Street, London, England, WC1H 8EJ, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,7.8,"Good",812,"4","188","2019-10-25","2019-10-26",2,0,315467,2.5,"51.52918,-0.12376","52","3",0,0,0,0,0,1,0,0,0
